energy,sigma
1.00E-11,21.7846
1.10E-11,20.7422
1.22E-11,19.7497
1.34E-11,18.8046
1.48E-11,17.9048
1.63E-11,17.0481
1.80E-11,16.2323
1.99E-11,15.4556
2.19E-11,14.716
2.42E-11,14.0118
2.67E-11,13.3413
2.94E-11,12.703
3.24E-11,12.0951
3.58E-11,11.5163
3.95E-11,10.9653
4.35E-11,10.4406
4.80E-11,9.94099
5.30E-11,9.46531
5.84E-11,9.01239
6.44E-11,8.58114
7.11E-11,8.17052
7.84E-11,7.77956
8.65E-11,7.4073
9.54E-11,7.05286
1.05E-10,6.71537
1.16E-10,6.39404
1.28E-10,6.08808
1.41E-10,5.79676
1.56E-10,5.51938
1.72E-10,5.25528
1.90E-10,5.00381
2.09E-10,4.76437
2.31E-10,4.5364
2.54E-10,4.31933
2.81E-10,4.11264
3.09E-10,3.91585
3.41E-10,3.72848
3.77E-10,3.55007
4.15E-10,3.3802
4.58E-10,3.21845
5.05E-10,3.06445
5.57E-10,2.91782
6.15E-10,2.7782
6.78E-10,2.64526
7.48E-10,2.51869
8.25E-10,2.39817
9.10E-10,2.28341
1.00E-09,2.17415
1.11E-09,2.07012
1.22E-09,1.97106
1.35E-09,1.87675
1.49E-09,1.78695
1.64E-09,1.70144
1.81E-09,1.62003
1.99E-09,1.54251
2.20E-09,1.4687
2.43E-09,1.39842
2.68E-09,1.33151
2.95E-09,1.26779
3.26E-09,1.20713
3.59E-09,1.14937
3.96E-09,1.09437
4.37E-09,1.042
4.82E-09,0.992142
5.32E-09,0.944668
5.87E-09,0.899464
6.47E-09,0.856424
7.14E-09,0.815443
7.87E-09,0.776423
8.68E-09,0.73927
9.58E-09,0.703895
1.06E-08,0.670213
1.17E-08,0.638142
1.29E-08,0.607606
1.42E-08,0.57853
1.56E-08,0.550844
1.73E-08,0.524483
1.90E-08,0.499383
2.10E-08,0.475488
2.32E-08,0.452742
2.52E-08,0.43362
2.53E-08,0.433122
2.79E-08,0.412415
3.08E-08,0.3927
3.40E-08,0.373921
3.75E-08,0.356031
4.13E-08,0.338987
4.56E-08,0.322758
5.03E-08,0.307307
5.54E-08,0.292602
6.12E-08,0.278606
6.75E-08,0.265282
7.44E-08,0.252592
8.21E-08,0.240498
9.05E-08,0.228979
9.99E-08,0.218016
1.10E-07,0.207584
1.21E-07,0.197653
1.34E-07,0.188202
1.48E-07,0.179205
1.63E-07,0.170623
1.80E-07,0.162445
1.98E-07,0.154667
2.19E-07,0.147266
2.41E-07,0.14022
2.66E-07,0.13351
2.94E-07,0.127135
3.26E-07,0.120619
3.60E-07,0.114833
3.97E-07,0.109336
4.38E-07,0.104101
4.83E-07,0.099125
5.33E-07,0.094376
5.92E-07,0.08956
6.57E-07,0.0849631
7.25E-07,0.0808865
8.00E-07,0.077014
8.82E-07,0.0733238
9.73E-07,0.0698222
1.07E-06,0.0667053
1.18E-06,0.0632974
1.31E-06,0.0600488
1.45E-06,0.0571664
1.60E-06,0.0544277
1.76E-06,0.051817
1.95E-06,0.0493438
2.13E-06,0.0471262
2.38E-06,0.0445655
2.67E-06,0.0421241
2.94E-06,0.0401053
3.22E-06,0.038316
3.53E-06,0.0366028
3.87E-06,0.0349773
4.24E-06,0.0333983
4.74E-06,0.0315799
5.30E-06,0.029846
5.85E-06,0.0284121
6.40E-06,0.0271414
7.01E-06,0.025925
7.63E-06,0.0248556
8.36E-06,0.0237307
9.15E-06,0.0226768
9.96E-06,0.0217346
1.09E-05,0.02075
1.19E-05,0.01982
1.30E-05,0.0189949
1.40E-05,0.0182667
1.52E-05,0.017569
1.67E-05,0.0167093
1.83E-05,0.0159619
1.98E-05,0.0153461
2.18E-05,0.0145931
2.39E-05,0.0139328
2.58E-05,0.013394
2.79E-05,0.0128743
3.01E-05,0.0123759
3.32E-05,0.0117627
3.61E-05,0.0112687
3.93E-05,0.0107883
4.33E-05,0.0102499
4.71E-05,0.00981327
5.09E-05,0.00942619
5.54E-05,0.00902039
5.98E-05,0.0086631
6.64E-05,0.00819442
7.18E-05,0.00787003
7.75E-05,0.0075524
8.67E-05,0.00711335
9.43E-05,0.00680118
0.000101877,0.00652423
0.000110034,0.00625722
0.000119684,0.00597928
0.000132947,0.00564353
0.000143592,0.00541186
0.000155097,0.00518443
0.000172276,0.00489013
0.00018608,0.00468461
0.000202398,0.00446851
0.000220147,0.00426133
0.000239452,0.00406357
0.000264124,0.00384193
0.000283289,0.0036922
0.000310289,0.00350285
0.000344675,0.00329622
0.000372274,0.00315242
0.000404919,0.0030022
0.000440427,0.00285855
0.000475716,0.00273284
0.000528408,0.00256966
0.000566749,0.00246769
0.000616448,0.00234875
0.000683554,0.00221145
0.000741801,0.00210917
0.00080546,0.00201096
0.000878979,0.00191216
0.000949361,0.00182947
0.00105686,0.0017208
0.0011327,0.00165539
0.00123966,0.00157333
0.00137929,0.00148256
0.00148974,0.00142147
0.00161092,0.00136201
0.0017647,0.00129695
0.00191046,0.0012436
0.00212127,0.00117719
0.00226131,0.00113949
0.00247156,0.00108908
0.0027469,0.00103373
0.002967,0.000996315
0.00322184,0.000958848
0.00351179,0.000922742
0.0038085,0.00089192
0.00421798,0.000857844
0.00448611,0.000840962
0.00489009,0.000822447
0.00523766,0.000815538
0.00540149,0.000814591
0.00563612,0.000818432
0.00585352,0.000827285
0.0060327,0.000840324
0.0061905,0.000856741
0.00630885,0.000873171
0.0064272,0.000893915
0.00654555,0.00092062
0.0066639,0.000954368
0.00676253,0.000989568
0.00684143,0.00102345
0.00692588,0.00106686
0.00699923,0.00111246
0.00705841,0.0011552
0.00711758,0.00120529
0.00717676,0.00126289
0.00721621,0.00130694
0.00725566,0.0013561
0.00729511,0.0014111
0.00733456,0.00147294
0.00737401,0.00154284
0.00741346,0.00162214
0.00745291,0.0017126
0.0074825,0.00178926
0.00751208,0.00187405
0.00754167,0.00196941
0.00757126,0.00207564
0.00760085,0.00219597
0.00763044,0.00233116
0.00766002,0.002485
0.00767975,0.00260076
0.00769947,0.00272667
0.0077192,0.0028651
0.00773646,0.00299639
0.00775865,0.00318493
0.00777788,0.00336819
0.00779613,0.00355904
0.00781388,0.00376519
0.00783163,0.00399426
0.00784939,0.00424942
0.00786714,0.00453474
0.00788489,0.00485513
0.00790264,0.00521661
0.00791448,0.00548399
0.00792631,0.00577536
0.00793815,0.0060938
0.00794998,0.00644259
0.00796182,0.00682591
0.00797365,0.00724821
0.00798549,0.00771522
0.00799732,0.00823315
0.00800916,0.00880998
0.00802099,0.00945455
0.00802987,0.00998919
0.00803875,0.0105716
0.00804762,0.0112114
0.0080565,0.0119153
0.00806537,0.0126915
0.00807425,0.01355
0.00808313,0.0145028
0.008092,0.0155642
0.00810088,0.016751
0.0081068,0.0176219
0.00811272,0.0185645
0.00811863,0.0195869
0.00812455,0.0206983
0.00813047,0.021909
0.00813639,0.0232308
0.0081425,0.0247268
0.00814881,0.0264325
0.00815512,0.0283225
