energy,sigma
1.00E-11,2194.07
1.10E-11,2089.08
1.22E-11,1989.12
1.34E-11,1893.93
1.48E-11,1803.31
1.63E-11,1717.02
1.80E-11,1634.86
1.99E-11,1556.63
2.19E-11,1482.14
2.42E-11,1411.22
2.67E-11,1343.69
2.94E-11,1279.4
3.24E-11,1218.18
3.58E-11,1159.88
3.95E-11,1104.38
4.35E-11,1051.54
4.80E-11,1001.22
5.30E-11,953.311
5.84E-11,907.694
6.44E-11,864.26
7.11E-11,822.905
7.84E-11,783.528
8.65E-11,746.035
9.54E-11,710.337
1.05E-10,676.347
1.16E-10,643.983
1.28E-10,613.168
1.41E-10,583.827
1.56E-10,555.89
1.72E-10,529.291
1.90E-10,503.964
2.09E-10,479.848
2.31E-10,456.887
2.54E-10,435.025
2.81E-10,414.208
3.09E-10,394.388
3.41E-10,375.516
3.77E-10,357.547
4.15E-10,340.438
4.58E-10,324.148
5.05E-10,308.637
5.57E-10,293.869
6.15E-10,279.807
6.78E-10,266.418
7.48E-10,253.669
8.25E-10,241.531
9.10E-10,229.973
1.00E-09,218.969
1.11E-09,208.491
1.22E-09,198.514
1.35E-09,189.015
1.49E-09,179.97
1.64E-09,171.358
1.81E-09,163.159
1.99E-09,155.351
2.20E-09,147.917
2.43E-09,140.839
2.68E-09,134.099
2.95E-09,127.682
3.26E-09,121.572
3.59E-09,115.755
3.96E-09,110.215
4.37E-09,104.941
4.82E-09,99.919
5.32E-09,95.1373
5.87E-09,90.5844
6.47E-09,86.2493
7.14E-09,82.1216
7.87E-09,78.1914
8.68E-09,74.4491
9.58E-09,70.8859
1.06E-08,67.4932
1.17E-08,64.2628
1.29E-08,61.1872
1.42E-08,58.2587
1.56E-08,55.4705
1.73E-08,52.8156
1.90E-08,50.2877
2.10E-08,47.8807
2.32E-08,45.5892
2.52E-08,43.6623
2.53E-08,43.6122
2.79E-08,41.5254
3.08E-08,39.5383
3.40E-08,37.6457
3.75E-08,35.8428
4.13E-08,34.1258
4.56E-08,32.4912
5.03E-08,30.9358
5.54E-08,29.4553
6.12E-08,28.0451
6.75E-08,26.701
7.44E-08,25.4202
8.21E-08,24.2002
9.05E-08,23.0387
9.99E-08,21.9334
1.10E-07,20.8821
1.21E-07,19.8821
1.34E-07,18.9293
1.48E-07,18.0203
1.63E-07,17.154
1.80E-07,16.3292
1.98E-07,15.5439
2.19E-07,14.797
2.41E-07,14.0874
2.66E-07,13.4108
2.94E-07,12.7645
3.24E-07,12.1487
3.57E-07,11.5625
3.94E-07,11.0042
4.35E-07,10.4736
4.80E-07,9.97007
5.29E-07,9.48744
5.83E-07,9.02723
6.44E-07,8.58895
7.10E-07,8.17149
7.83E-07,7.77384
8.64E-07,7.39605
9.59E-07,7.01201
1.06E-06,6.66852
1.17E-06,6.34127
1.29E-06,6.02946
1.42E-06,5.73226
1.57E-06,5.44895
1.73E-06,5.17885
1.91E-06,4.92188
2.13E-06,4.64302
2.35E-06,4.41009
2.59E-06,4.18782
2.86E-06,3.97544
3.16E-06,3.77303
3.48E-06,3.57966
3.81E-06,3.40842
4.27E-06,3.20752
4.71E-06,3.0397
5.15E-06,2.89031
5.64E-06,2.74678
6.23E-06,2.5991
6.82E-06,2.46752
7.47E-06,2.34156
8.42E-06,2.18455
9.28E-06,2.06129
1.01E-05,1.95971
1.10E-05,1.86185
1.19E-05,1.76728
1.31E-05,1.66874
1.43E-05,1.57412
1.57E-05,1.48335
1.70E-05,1.40957
1.86E-05,1.32525
2.01E-05,1.25628
2.17E-05,1.1898
2.32E-05,1.13127
2.49E-05,1.07469
2.67E-05,1.01975
2.85E-05,0.971755
3.05E-05,0.920057
3.30E-05,0.865061
3.56E-05,0.812355
3.85E-05,0.761529
4.13E-05,0.716939
4.43E-05,0.674128
4.85E-05,0.620741
5.24E-05,0.577776
5.62E-05,0.540316
5.98E-05,0.507865
6.33E-05,0.480046
6.69E-05,0.453174
7.13E-05,0.424102
7.59E-05,0.396396
8.14E-05,0.366928
8.67E-05,0.341817
9.11E-05,0.323012
9.57E-05,0.304959
0.00010046,0.287598
0.000104772,0.273261
0.000110034,0.257192
0.000115567,0.241719
0.000121372,0.227046
0.000127475,0.212952
0.000134822,0.197728
0.000140609,0.18681
0.000147672,0.174633
0.000155097,0.163085
0.000161755,0.153734
0.000168698,0.144742
0.000175939,0.136143
0.000184777,0.126679
0.000192708,0.119019
0.000202398,0.110543
0.000212564,0.102601
0.000220147,0.0972474
0.000227988,0.0921392
0.000237774,0.0863048
0.000247981,0.0808712
0.000258625,0.0757889
0.000269726,0.0710913
0.000279347,0.0674821
0.000289298,0.064189
0.000299617,0.0612483
0.000308131,0.0592249
0.000316886,0.0575858
0.000323608,0.0566966
0.000328174,0.0563232
0.000332803,0.0561772
0.000337669,0.0563526
0.000341242,0.0567467
0.000344849,0.0574418
0.000348489,0.0585276
0.000350939,0.0595337
0.000353406,0.0608275
0.00035589,0.0624816
0.000358392,0.0645942
0.000360281,0.0665604
0.00036217,0.0689215
0.000364087,0.071812
0.000365364,0.0740757
0.000366641,0.0766613
0.000367928,0.0796471
0.000369223,0.0831075
0.000370519,0.0871051
0.00037149,0.0905369
0.000372462,0.0944012
0.000373422,0.0987124
0.000374383,0.103594
0.000375343,0.109146
0.000376304,0.115491
0.000377264,0.122784
0.000377908,0.1283
0.000378557,0.134438
0.000379205,0.141249
0.000379854,0.148833
0.000380502,0.157309
0.000381151,0.166819
0.000381799,0.177537
0.000382285,0.186492
0.000382772,0.196345
0.000383355,0.209523
0.000383939,0.224425
0.000384328,0.235477
0.000384717,0.247554
0.000385106,0.260787
0.000385495,0.275325
0.000385884,0.291342
0.000386208,0.305967
0.000386533,0.321899
0.000386857,0.3393
0.000387181,0.358355
0.000387505,0.379281
0.000387829,0.402331
0.000388154,0.427804
0.000388478,0.456053
0.000388737,0.480928
0.000388997,0.508098
0.000389256,0.537853
0.000389515,0.570532
0.000389775,0.606534
0.000390034,0.646328
0.000390294,0.690472
0.000390553,0.739633
0.000390734,0.777453
0.000390916,0.81844
0.000391098,0.862962
0.000391279,0.911443
0.000391461,0.96437
0.000391642,1.02231
0.000391824,1.08593
0.000392005,1.15602
0.000392148,1.21622
0.000392291,1.28149
0.000392433,1.35246
0.000392576,1.4298
0.000392719,1.51433
0.000392861,1.607
0.000393004,1.70892
0.000393147,1.8214
0.000393263,1.92237
0.00039338,2.03246
0.000393497,2.15285
0.000393614,2.28492
0.00039373,2.43031
0.000393847,2.59098
0.000393964,2.76926
0.00039408,2.96796
0.000394171,3.1388
0.000394262,3.32599
0.000394353,3.53177
0.000394444,3.75882
0.000394534,4.01027
0.000394625,4.28982
0.000394716,4.60183
0.000394784,4.86022
0.000394846,5.11429
0.000394923,5.46615
0.000395001,5.85692
0.000395079,6.292
0.000395137,6.651
0.000395196,7.04115
0.000395254,7.46556
0.000395312,7.92754
0.000395371,8.43069
0.000395429,8.97884
0.000395491,9.61774
0.000395554,10.3177
0.000395616,11.0841
0.000395678,11.9226
0.00039574,12.8389
