Run ID,40Ar,40Ar_err,39Ar,39Ar_err,38Ar,38Ar_err,37Ar,37Ar_err,36Ar,36Ar_err
37049-01 ,2.710031,0.0022825,4.291075,0.0022026,0.0437145,0.0002607,0.0369099,0.0001816,0.0001402,0.0000228
37049-02,3.522104,0.0025495,4.935603,0.0026025,0.0512528,0.0003505,0.0450457,0.0001855,0.0015531,0.0000267
 37049-04,2.039271,0.0017029,3.125367,0.0016031,0.0318851,0.0002407,0.0273864,0.0001711,0.0003765,0.000024
 37049-05 ,2.046768,0.0017029,3.274348,0.0019028,0.0334238,0.0002108,0.0284021,0.0001729,0.0000688,0.0000228
37049-08,2.919761,0.0023707,4.62419,0.0021027,0.0482438,0.0002308,0.0397196,0.0001803,0.0002217,0.000024
 37049-12,3.032901,0.0025495,4.622054,0.0027026,0.0423826,0.0004504,0.0420697,0.0001926,0.0005861,0.000024
 37049-16,1.353237,0.0015556,2.127274,0.0011039,0.0216494,0.0001611,0.0166114,0.0001949,0.0001026,0.0000223
 37049-19,2.377933,0.0019416,3.773202,0.0019028,0.0398511,0.0002706,0.0330406,0.0001945,0.0001587,0.0000234
 37049-21,1.248105,0.0013963,1.953394,0.001104,0.0193053,0.0001511,0.018648,0.0001789,0.0001439,0.0000223
 37049-22,0.7708229,0.0013485,1.208983,0.0007157,0.0123388,0.0001017,0.0104572,0.0001769,0.0000492,0.0000217
 37049-23,1.41291,0.00146,2.204,0.0012037,0.0224335,0.000171,0.0198313,0.0002084,0.0001543,0.0000228
 37049-24 ,2.198731,0.0018601,3.480294,0.001703,0.0336732,0.0002507,0.031002,0.0001991,0.0001597,0.0000234
37049-26,2.4719,0.0021095,3.953651,0.0019029,0.0434222,0.000171,0.0339688,0.0001986,0.0000774,0.0000228
 37049-27 ,1.650785,0.0015556,2.596082,0.001104,0.028035,0.0001412,0.0226592,0.0001889,0.0001137,0.0000228
37049-29 ,1.768363,0.0015556,2.803133,0.0014034,0.0275829,0.0002208,0.025352,0.0001898,0.0000954,0.0000234
37049-30 ,0.870837,0.0013601,1.361418,0.0007455,0.0142517,0.0000939,0.0117359,0.00018,0.0000902,0.0000217
37049-33,1.667085,0.0015556,2.65997,0.0013035,0.0283721,0.0001313,0.0223087,0.0001876,0.000059,0.0000217
 37049-34,1.408605,0.0014469,2.17158,0.0009843,0.0234619,0.0001017,0.0197122,0.0001853,0.0001693,0.0000217
 37049-35,1.775217,0.0015556,2.812395,0.0016031,0.0304412,0.0001511,0.0251481,0.0001906,0.0001075,0.0000228
 37049-36,2.439973,0.0020248,3.85425,0.001703,0.0418205,0.0002906,0.0347897,0.0002027,0.0001875,0.0000234
 37049-39,2.672453,0.0023707,4.27137,0.0022027,0.0403093,0.0003904,0.0387599,0.0002119,0.0000755,0.0000228
 37049-41,2.713992,0.0024597,4.232181,0.0021028,0.0443265,0.0003505,0.0378664,0.0002114,0.0003432,0.000024
 37049-46,1.461763,0.0014866,2.289115,0.001104,0.0246645,0.0001116,0.0205492,0.0001965,0.0001534,0.0000223
 37049-48,2.359766,0.0018601,3.677274,0.0022028,0.0389337,0.0002906,0.0326433,0.0002058,0.0002543,0.0000234
 37049-53,1.049352,0.0014087,1.673426,0.0009644,0.0170936,0.0001313,0.0150019,0.0001987,0.0000604,0.0000217
 37049-54,1.579402,0.0015556,2.481308,0.0016031,0.0257164,0.0002308,0.0195058,0.0002299,0.000139,0.0000228
 37049-58 ,1.134522,0.001434,1.749292,0.0008848,0.018555,0.0001214,0.0157058,0.000196,0.0001616,0.0000212
37049-60 ,1.597511,0.0016279,2.520057,0.0014034,0.0254815,0.0002607,0.0219981,0.0002233,0.0001217,0.0000223
37050-01 ,3.643998,0.0027313,5.750438,0.0021107,0.0596761,0.0002412,0.0519167,0.0001502,0.0003138,0.0000226
37050-03 ,2.701477,0.0021095,4.253524,0.00231,0.04261,0.0003209,0.0374291,0.0001298,0.0002348,0.0000219
37050-04 ,1.388802,0.0015556,2.153261,0.0012172,0.0212837,0.0001618,0.018762,0.0001064,0.0001703,0.0000194
37050-05 ,2.750354,0.0023707,4.313141,0.0019116,0.0447487,0.0004207,0.0368395,0.0001346,0.000263,0.0000219
37050-08 ,2.650845,0.0021095,4.05835,0.0017127,0.0442105,0.0002213,0.0354232,0.0001194,0.0004717,0.0000219
37050-09 ,1.423777,0.0014866,2.254596,0.0010204,0.0238119,0.0001816,0.0197352,0.000108,0.0000725,0.0000194
37050-13,2.141261,0.0017804,3.338113,0.0019116,0.034949,0.0001618,0.0317628,0.0001425,0.0002596,0.0000206
 37050-15,2.9588,0.0024597,4.330771,0.0024097,0.0450056,0.0003708,0.0385157,0.0001432,0.000926,0.0000233
 37050-16,1.564739,0.0015556,2.449286,0.0012173,0.025865,0.0001519,0.0213526,0.0001106,0.0001195,0.0000206
 37050-17 ,1.310382,0.0014799,2.019132,0.000864,0.0217663,0.0001028,0.0186512,0.000107,0.000189,0.0000194
37050-19 ,2.049016,0.0016279,3.240148,0.0017127,0.0354159,0.0001322,0.0283923,0.0001235,0.00017,0.0000206
37050-23 ,2.461345,0.0021954,3.851013,0.0018121,0.0398943,0.000281,0.0325957,0.0001335,0.000264,0.0000219
37050-24 ,1.210504,0.0014866,1.816753,0.0011187,0.0181724,0.0001717,0.0171142,0.0001091,0.0002699,0.0000206
37050-25 ,1.479546,0.0014866,2.240365,0.0010204,0.0236661,0.0001126,0.0199319,0.0001133,0.0002784,0.0000206
37050-29 ,3.759876,0.0030083,5.859089,0.0026092,0.0604835,0.0004906,0.0514297,0.000163,0.0004549,0.0000241
37050-30 ,2.521123,0.0022825,3.633284,0.0020112,0.0367942,0.0002312,0.0317624,0.0001361,0.0009267,0.0000233
37050-32 ,3.065158,0.0021954,4.856614,0.0022104,0.0510957,0.0002711,0.0431157,0.0001461,0.0001404,0.0000213
