Run ID,40Ar,40Ar_err,39Ar,39Ar_err,38Ar,38Ar_err,37Ar,37Ar_err,36Ar,36Ar_err
37049-03 ,7.916165,0.003956,2.215448,0.0011039,0.0206169,0.000181,0.0367648,0.0001762,5.26E-05,0.000024
37049-06,9.740282,0.0049244,2.72733,0.0015032,0.0284831,0.0001611,0.0436197,0.0001794,0.0000929,0.0000253
 37049-13 ,3.399467,0.0024597,0.9547781,0.0006859,0.0085959,0.0000715,0.0161486,0.0001714,0.0000194,0.0000223
37049-14 ,5.485897,0.0040522,1.541339,0.0008748,0.0161933,0.0000705,0.0258607,0.0001785,0.0000592,0.0000234
37049-15 ,9.465341,0.0046325,2.655214,0.0014033,0.0289342,0.000181,0.0416393,0.0002123,1.43E-04,0.000026
37049-17 ,5.73528,0.0027313,1.610619,0.0009843,0.0172382,0.0001214,0.0249418,0.0001972,0.0001121,0.0000234
37049-18 ,2.361643,0.0018601,0.6627242,0.0005374,0.0071518,0.0000638,0.0117834,0.000176,0.0000535,0.0000223
37049-20 ,9.594158,0.003956,2.693203,0.0015032,0.0271705,0.0002208,0.0467896,0.0002049,0.0000662,0.0000246
37049-25 ,4.992297,0.0029155,1.407622,0.0007057,0.0152037,0.0001116,0.0226828,0.0001851,0.0000315,0.0000228
37049-28 ,11.9897,0.0052173,3.352421,0.0023027,0.0342048,0.0003006,0.0549655,0.0002178,0.000103,0.0000253
37049-31 ,4.783355,0.0026401,1.339632,0.0008648,0.0143806,0.0000968,0.0220791,0.0001881,0.0000607,0.0000228
37049-32 ,3.202968,0.0023707,0.8989415,0.0006462,0.0098107,0.0000695,0.0149239,0.0001809,9.81E-06,0.0000217
37049-37 ,5.809296,0.0031953,1.597431,0.0008947,0.0163421,0.0001611,0.0259291,0.0001962,0.0004312,0.0000246
37049-38,6.174638,0.0030083,1.737694,0.0009345,0.0171303,0.0002009,0.0294985,0.0001983,0.0000546,0.0000234
 37049-40,5.942458,0.0031016,1.668402,0.000835,0.0166181,0.0001116,0.0268023,0.0001964,0.0000344,0.0000228
 37049-42,7.811559,0.0034785,2.190752,0.001104,0.0228041,0.0001412,0.036217,0.0002139,0.0001207,0.0000246
 37049-43 ,4.508237,0.0030083,1.262619,0.0009545,0.0124126,0.0001412,0.0188697,0.0002085,0.0000177,0.0000228
37049-44 ,5.978004,0.0034785,1.671871,0.0008847,0.0168177,0.0001412,0.0275264,0.0002017,0.0000555,0.0000228
